"TEAM","E_FG_PCT_O","ORB_RATE","FT_RATE_O","TO_PCT_O","E_FG_PCT_D","FT_RATE_D","TO_PCT_D","DRB_RATE"
"Atlanta Hawks",0.522,24.7,0.192,14.3,0.541,0.237,12.8,76.4
"Boston Celtics",0.534,21.6,0.173,11.5,0.514,0.198,13.4,77
"Brooklyn Nets",0.52,23.8,0.211,13,0.512,0.19,11.6,76.4
"Charlotte Hornets",0.514,21.7,0.205,10.9,0.538,0.179,12.1,77.1
"Chicago Bulls",0.505,19.4,0.184,12.7,0.541,0.188,11.9,77.3
"Cleveland Cavaliers",0.503,23.7,0.187,12.2,0.564,0.181,11.5,77
"Dallas Mavericks",0.519,22.7,0.216,12.7,0.522,0.191,11.6,77.5
"Denver Nuggets",0.527,26.6,0.175,11.9,0.521,0.194,12.3,78
"Detroit Pistons",0.509,24.8,0.195,12.3,0.526,0.211,12.8,78.7
"Golden State Warriors",0.565,22.5,0.182,12.6,0.508,0.205,11.7,77.1
"Houston Rockets",0.542,22.8,0.221,12,0.525,0.21,13.4,74.4
"Indiana Pacers",0.53,21.9,0.182,12.4,0.516,0.184,14.1,76.2
"Los Angeles Clippers",0.529,22,0.258,12.7,0.514,0.224,11.4,76
"Los Angeles Lakers",0.527,22.2,0.18,13.4,0.516,0.192,12.2,76.4
"Memphis Grizzlies",0.508,20,0.21,12.9,0.521,0.232,13.9,77.6
"Miami Heat",0.515,24.8,0.172,13.1,0.51,0.201,12.7,77.6
"Milwaukee Bucks",0.55,20.8,0.197,12,0.503,0.162,11.5,80.3
"Minnesota Timberwolves",0.511,24.6,0.21,11.4,0.538,0.19,12.9,74.9
"New Orleans Pelicans",0.529,24.1,0.193,12.6,0.532,0.193,11.6,76.8
"New York Knicks",0.49,22.1,0.205,12.4,0.533,0.203,11.7,76.1
"Oklahoma City Thunder",0.514,26,0.19,11.7,0.523,0.206,14.4,78.2
"Orlando Magic",0.518,22,0.168,11.9,0.515,0.186,11.8,79.7
"Philadelphia 76ers",0.532,24.5,0.241,12.9,0.512,0.206,11.1,78.6
"Phoenix Suns",0.514,20.5,0.202,13.8,0.545,0.236,13.5,72.5
"Portland Trail Blazers",0.528,26.6,0.21,12.1,0.516,0.195,11,77.9
"Sacramento Kings",0.524,23.1,0.177,11.5,0.533,0.207,13.6,75.5
"San Antonio Spurs",0.534,21,0.194,11,0.528,0.17,11,79.4
"Toronto Raptors",0.543,21.9,0.198,12.4,0.509,0.19,13.1,77.1
"Utah Jazz",0.538,22.9,0.217,13.4,0.507,0.189,12.4,80.3
"Washington Wizards",0.531,21.3,0.204,12.3,0.546,0.199,13.5,74.1
