"typeSeason","slugSeason","idGame","dateGame","slugMatchup","slugTeamWinner","slugTeamLoser","numberGameDay","vh","home_team_short","away_team_short","home_Final","away_Final","Close","Actual"
"Regular Season","1996-97",29600001,1996-11-01,"BOS vs. CHI","CHI","BOS",1,"vs","BOS","CHI",NA,NA,NA,NA
"Regular Season","1996-97",29600002,1996-11-01,"CLE @ NJN","CLE","NJN",2,"@ ","NJN","CLE",NA,NA,NA,NA
"Regular Season","1996-97",29600003,1996-11-01,"MIL @ PHI","MIL","PHI",3,"@ ","PHI","MIL",NA,NA,NA,NA
"Regular Season","1996-97",29600004,1996-11-01,"ORL vs. WAS","WAS","ORL",4,"vs","ORL","WAS",NA,NA,NA,NA
"Regular Season","1996-97",29600005,1996-11-01,"ATL @ MIA","MIA","ATL",5,"@ ","MIA","ATL",NA,NA,NA,NA
"Regular Season","1996-97",29600006,1996-11-01,"TOR vs. NYK","NYK","TOR",6,"vs","TOR","NYK",NA,NA,NA,NA
"Regular Season","1996-97",29600007,1996-11-01,"DET vs. IND","DET","IND",7,"vs","DET","IND",NA,NA,NA,NA
"Regular Season","1996-97",29600008,1996-11-01,"MIN vs. SAS","MIN","SAS",8,"vs","MIN","SAS",NA,NA,NA,NA
"Regular Season","1996-97",29600009,1996-11-01,"SAC @ HOU","HOU","SAC",9,"@ ","HOU","SAC",NA,NA,NA,NA
"Regular Season","1996-97",29600010,1996-11-01,"DEN vs. DAL","DAL","DEN",10,"vs","DEN","DAL",NA,NA,NA,NA
"Regular Season","1996-97",29600011,1996-11-01,"SEA @ UTA","UTA","SEA",11,"@ ","UTA","SEA",NA,NA,NA,NA
"Regular Season","1996-97",29600012,1996-11-01,"PHX @ LAL","LAL","PHX",12,"@ ","LAL","PHX",NA,NA,NA,NA
"Regular Season","1996-97",29600013,1996-11-01,"GSW vs. LAC","LAC","GSW",13,"vs","GSW","LAC",NA,NA,NA,NA
"Regular Season","1996-97",29600014,1996-11-01,"VAN vs. POR","POR","VAN",14,"vs","VAN","POR",NA,NA,NA,NA
"Regular Season","1996-97",29600015,1996-11-02,"CLE @ WAS","CLE","WAS",1,"@ ","WAS","CLE",NA,NA,NA,NA
"Regular Season","1996-97",29600016,1996-11-02,"CHH vs. TOR","CHH","TOR",2,"vs","CHH","TOR",NA,NA,NA,NA
"Regular Season","1996-97",29600017,1996-11-02,"ATL vs. DET","DET","ATL",3,"vs","ATL","DET",NA,NA,NA,NA
"Regular Season","1996-97",29600018,1996-11-02,"IND vs. MIA","MIA","IND",4,"vs","IND","MIA",NA,NA,NA,NA
"Regular Season","1996-97",29600019,1996-11-02,"CHI vs. PHI","CHI","PHI",5,"vs","CHI","PHI",NA,NA,NA,NA
"Regular Season","1996-97",29600020,1996-11-02,"MIL vs. BOS","MIL","BOS",6,"vs","MIL","BOS",NA,NA,NA,NA
"Regular Season","1996-97",29600021,1996-11-02,"DAL vs. SAC","SAC","DAL",7,"vs","DAL","SAC",NA,NA,NA,NA
"Regular Season","1996-97",29600022,1996-11-02,"PHX vs. HOU","HOU","PHX",8,"vs","PHX","HOU",NA,NA,NA,NA
"Regular Season","1996-97",29600023,1996-11-02,"LAC vs. UTA","UTA","LAC",9,"vs","LAC","UTA",NA,NA,NA,NA
"Regular Season","1996-97",29600024,1996-11-02,"SEA vs. POR","SEA","POR",10,"vs","SEA","POR",NA,NA,NA,NA
"Regular Season","1996-97",29600025,1996-11-03,"CHH @ NYK","NYK","CHH",1,"@ ","NYK","CHH",NA,NA,NA,NA
"Regular Season","1996-97",29600026,1996-11-03,"DEN @ SAS","DEN","SAS",2,"@ ","SAS","DEN",NA,NA,NA,NA
"Regular Season","1996-97",29600027,1996-11-03,"MIN @ LAL","LAL","MIN",3,"@ ","LAL","MIN",NA,NA,NA,NA
"Regular Season","1996-97",29600028,1996-11-03,"GSW @ VAN","GSW","VAN",4,"@ ","VAN","GSW",NA,NA,NA,NA
"Regular Season","1996-97",29600029,1996-11-04,"HOU @ UTA","HOU","UTA",1,"@ ","UTA","HOU",NA,NA,NA,NA
"Regular Season","1996-97",29600030,1996-11-04,"ATL @ POR","ATL","POR",2,"@ ","POR","ATL",NA,NA,NA,NA
"Regular Season","1996-97",29600031,1996-11-05,"NYK vs. LAL","LAL","NYK",1,"vs","NYK","LAL",NA,NA,NA,NA
"Regular Season","1996-97",29600032,1996-11-05,"DET @ PHI","DET","PHI",2,"@ ","PHI","DET",NA,NA,NA,NA
